SITE,PLOT,COL,ROW,TAG,STEM,DBH24,HT21,HT23,HT24,HTLC24,COMMENT
    Buck,46,47,28,3867,   ,     ,     ,     ,     ,     ,                         
    Buck,46,47,29,8702,   ,291,1320,1500,1610,320,                         
,,,,,,,,,,,
SITE,PLOT,COL,ROW,FAM,,DBH,,HT23,HT24,HTLC24,COMMENT
Buck,Extra,136,552,      ,   ,185,     ,1420,1510,540,                         
Buck,Extra,139,551,888,   ,114,     ,1000,1100,350,                         
Buck,Extra,143,551,298,   ,179,     ,1260,1370,350,                         
Buck,Extra,145,551,579,   ,182,     ,1380,1530,500,                         
Buck,Extra,148,552,      ,   ,151,     ,1180,1290,390,                         
Buck,Extra,153,549,970,   ,211,     ,1380,1480,320,                         
Buck,Extra,150,550,      ,   ,177,     ,1260,1330,400,                         
Buck,Extra,147,549,433,   ,199,     ,1260,1380,270,                         
Buck,Extra,145,549,248,   ,186,     ,1390,1540,420,                         
Buck,Extra,140,550,      ,   ,183,     ,1270,1360,440,                         
Buck,Extra,140,548,      ,   ,196,     ,1400,1520,390,                         
Buck,Extra,143,547,459,   ,159,     ,1190,1290,320,                         
Buck,Extra,148,548,      ,   ,205,     ,1390,1480,330,                         
Buck,Extra,151,547,695,   ,191,     ,1350,1430,380,                         
Buck,Extra,155,547,460,   ,230,     ,1470,1570,300,                         
Buck,Extra,158,546,      ,   ,182,     ,1400,1500,410,                         
Buck,Extra,157,545,845,   ,219,     ,1500,1620,540,                         
Buck,Extra,152,546,      ,   ,220,     ,1480,1600,460,                         
Buck,Extra,149,545,337,   ,178,     ,1380,1460,470,                         
Buck,Extra,143,545,271,   ,197,     ,1360,1480,420,                         
Buck,Extra,143,543,543,   ,185,     ,1370,1470,500,                         
Buck,Extra,146,544,      ,   ,170,     ,1200,1320,390,                         
Buck,Extra,147,543,532,   ,171,     ,1320,1440,460,                         
Buck,Extra,151,543,367,   ,225,     ,1360,1450,430,                         
Buck,Extra,155,543,739,   ,185,     ,1270,1360,430,                         
Buck,Extra,156,542,      ,   ,175,     ,1250,1350,370,                         
Buck,Extra,155,541,237,   ,177,     ,1210,1300,440,                         
Buck,Extra,151,541,585,   ,183,     ,1280,1400,370,                         
Buck,Extra,149,541,595,   ,170,     ,1270,1400,390,                         
Buck,Extra,148,542,      ,   ,164,     ,1210,1320,380,                         
